masterid,x,y,lon,lat
"1019",923513.391235381,130173.984436065,-74.2184663848408,40.5237648185804
"1020",923500.090637237,130516.844421417,-74.2185173026124,40.5247058119449
"1021",923841.31042482,130204.919189468,-74.2172871576371,40.5238519672282
"1022",923851.60559082,130548.576782241,-74.2172531923121,40.5247953110476
"1023",923852.527587906,130981.879638672,-74.2172537414232,40.5259846498965
"1024",922971.35162355,131998.304809585,-74.2204325773607,40.5287684974284
"1025",923136.676025406,131139.018432632,-74.2198301150431,40.5264110633895
"1029",923459.959594741,131427.269226074,-74.2186698281817,40.5272044769454
"1036",923801.947021499,131593.335022002,-74.2174411419876,40.5276626320503
"1041",923075.447021499,132269.522827178,-74.2200605761928,40.5295136565721
"1042",923104.481201187,132533.871398926,-74.2199585210316,40.5302394421499
"1043",923155.70703125,132794.843383819,-74.2197766027152,40.5309561123753
"1046",923321.25579834,132225.135009766,-74.2191759430802,40.5293935122025
"1047",923781.734008804,132679.497192398,-74.2175235532454,40.5306437986084
"1048",923710.921020523,132965.263000503,-74.217780844745,40.5314276872141
"1049",923847.839599609,132398.615234375,-74.2172832450946,40.5298732825497
"1050",923922.045227066,132124.751403823,-74.2170138674156,40.5291220844243
"1053",923255.373413101,133311.421630874,-74.2194227257773,40.53237470483
"1055",923646.870788589,133260.325439468,-74.2180138972629,40.5322371388376
"1060",923183.142395049,134650.632019058,-74.2196946521144,40.5360500787825
"1063",923578.16802983,134094.110839859,-74.2182685216025,40.5345252475057
"1064",923571.566833511,134181.476196334,-74.2182930527173,40.5347650031918
"1066",923598.742004424,134579.985839844,-74.2181988605038,40.5358590200969
"1068",923673.145385757,135021.374389663,-74.217935138794,40.537071053672
"1070",923880.342590347,134628.066406265,-74.2171862077537,40.5359929127225
"1071",923257.666625991,135221.323242188,-74.2194316873012,40.5376170270946
"1073",923396.298217773,135235.529235855,-74.2189330632179,40.5376569718775
"1078",923692.131042495,135128.99401857,-74.2178677980438,40.5373665781035
"1079",923711.366394058,135268.452209488,-74.2177998431785,40.5377494948057
